slug;kod;marka;urun_adi;FIYAT_BURAYA
sk085e2v-pro;850W;BKW;BKW SK085E2V PRO Pano Kliması;
bkw-sk085eh2v-pano-klimasi;;BKW;BKW SK085EH2V Pano Kliması;
bkw-sk150e2v-pro-pano-klimasi;;BKW;BKW SK150E2V PRO Pano Kliması;
bkw-sk150eh2v-pano-klimasi;;BKW;BKW SK150EH2V Pano Kliması;
bkw-sk160d2v-pro-pano-klimasi;;BKW;BKW SK160D2V PRO Pano Kliması;
bkw-sk180d2v-pano-klimasi;;BKW;BKW SK180D2V Pano Kliması;
bkw-sk180e2v-pano-klimasi;;BKW;BKW SK180E2V Pano Kliması;
bkw-sk180eh2v-pano-klimasi;;BKW;BKW SK180EH2V Pano Kliması;
bkw-sk250d2v-pano-klimasi;;BKW;BKW SK250D2V Pano Kliması;
bkw-sk250e2v-pano-klimasi;;BKW;BKW SK250E2V Pano Kliması;
bkw-sk300e2v-pano-klimasi;;BKW;BKW SK300E2V Pano Kliması;
bkw-sk320d2v-pano-klimasi;;BKW;BKW SK320D2V Pano Kliması;
bkw-sk320dh2v-pano-klimasi;;BKW;BKW SK320DH2V Pano Kliması;
bkw-sk500d2v-pano-klimasi;;BKW;BKW SK500D2V Pano Kliması;
bkw-sk500dh2v-pano-klimasi;;BKW;BKW SK500DH2V Pano Kliması;
bkw-wrk-051-wasserruckkuhler-chiller;051;BKW;BKW WRK 051 Wasserrückkühler Chiller;
bkw-wrk03-wasserruckkuhler-chiller;WRK03;BKW;BKW WRK03 Wasserrückkühler Chiller;
bkw-wrk04-wasserruckkuhler-chiller;WRK04;BKW;BKW WRK04 Wasserrückkühler Chiller;
kompresor-bristol-h23a623dbea-380v-r22;H23A623DBEA;Bristol;Bristol Kompresör H23A623DBEA;
kompresor-bristol-h2eb32sabka-220v-r22;H2EB32SABKA;Bristol;Bristol Kompresör H2EB32SABKA (220V R22);
carel-ritcusrg02-ritcusrg021-controller-new;RITCUSRG02;Carel;CAREL RITCUSRG02 RITCUSRG021 Controller New;
cpy-000-200-carel;000;Carel;CPY 000 200 Carel lvnt-cpy-000-200-carel;
new-for-carel-controller-pzrisnh001-dijital-termostat;PZRISNH001;Carel;NEW For CAREL Controller PZRISNH001 Dijital Termostat;
carrier-30xa0602-600kw-ikinciel-chiller;30XA0602;Carrier;Carrier 30XA0602 600kW İkinci el Chiller;
carrier-chiller-200kw-410gazli;2.el;Carrier;Carrier Chiller 200kW 2.El;
30-ra-200-0559-p-carrier-chiller-200kw-407c;407c;Carrier;Carrier Chiller 200kW 407c;
carrier-chiller-250kw-30gtn070;2.el;Carrier;Carrier Chiller 250kW 30GTN070;
carrier-chiller-290kw-sifir-hic-calismamis-chiller;;Carrier;Carrier Chiller 290kW Sıfır Hiç Çalışmamış Chiller;
carrier-chiller-30-gh-013;013;Carrier;Carrier Chiller 30 GH 013;
32gb-500-102-ef;32GB-500---102--EF;Carrier;Carrier Display 32GB-500---102--EF;
carrier-filtere-02-b-660-004;02*b;Carrier;Carrier Filtere 02*b 660 004;
carrier-hk02za-441-hps-switch;HK02ZA;Carrier;Carrier Hk02za 441 Hps Switch;
carrier-sensor;96365.62;Carrier;Carrier Sensör 96365.62;
carrier-switch-pressure-312926-240;312926-240;Carrier;Carrier Swıtch Pressure 312926-240;
rds-remote-duct-sensor-920076;920076;Carrier;Carrier Taşıyıcı 920076 RDS Uzak Kanal Sensörü;
op-12as-020-ee-synoptique-30h-2-ckt;;Carrier;Carrier Taşıyıcının RDS Uzaktan Kanal Sensörü;
mst-04-es-carrier-termostat;;Carrier;Carrier Termostat MST 04 es;
op-12-da-039-yuksek-ve-yag-basinc-transducer-red-dot;op-12-da-039;Carrier;Carrier Yüksek ve Yağ Basınç Çevirici op-12-da-039;
compressor-r134a-gp16tb-16cm3-hmbp-230v-3-8hp;R134A;Cubigel Huayi;Compressor R134A GP16TB 16cm³ HMBP 230V 3/8HP;
kompresor-acc-zem-cubigel-huayi-electrolux-gl80tg;GL80TG;Cubigel Huayi;Kompresor ACC ZEM Cubigel Huayi Electrolux GL80TG;
kompresor-r134a-gl90tb-8-85cm3-hmbp-230v-1-4hp;R134A;Cubigel Huayi;Kompresor R134A GL90TB 8,85cm³ HMBP 230V 1/4HP;
compressor-r134a-sc10gh-10-29cm3-lmhbp-230v;R134A;Danfoss;Compressor R134A SC10GH 10,29cm³ LMHBP 230V;
compressor-danfoss-sc12gh;SC12GH;Danfoss;Compressor danfoss SC12GH;
compressor-danfoss-sc21g-hst;SC21G;Danfoss;Compressor danfoss SC21G HST;
compressor-danfoss-tl4gh;TL4GH;Danfoss;Compressor danfoss TL4GH;
compressor-danfoss-nl7-3mf-nl73mf-05g6773;nl7-3mf;Danfoss;Compressor danfoss nl7-3mf nl73mf;
compressor-danfoss-nl8-4mf;nl8-4mf;Danfoss;Compressor danfoss nl8-4mf;
compressor-danfoss-tl5g-tl5gx;tl5g;Danfoss;Compressor danfoss tl5g tl5gx;
danfoss-compressor-r134a-sc15gh-195b0144-15-28cm3-hbp-230v;R134A;Danfoss;Danfoss Compressor R134A SC15GH 195B0144 15,28cm³ HBP 230V;
100adet-danfoss-saginomiya-stf-02u1g3-dort-yollu-vana;Danfoss-Saginomiya_stf-02u1g3;Danfoss;Danfoss-Saginomiya_stf-02u1g3 Dört Yollu Vana;
danfoss-saginomiya-stf-02u1g3-dort-yollu-vana;Danfoss-Saginomiya_stf-02u1g3;Danfoss;Danfoss-Saginomiya_stf-02u1g3 Dört Yollu Vana;
gl80tg-danfoss-hermetic-compressors;GL80TG;Danfoss;GL80TG Danfoss Hermetic Compressors;
maneurop-compressor-mtz-18-4v-30-23cm3-mbp-400v;30,23cm³;Danfoss;MANEUROP Compressor MTZ 18-4V 30,23cm³ MBP 400V;
maneurop-compressor-mtz-36-4v-mtz36jg4-60-47cm3-mbp-400v;(MTZ36JG4);Danfoss;MANEUROP Compressor MTZ 36-4V (MTZ36JG4) 60,47cm³ MBP 400V;
maneurop-compressor-mtz-40-4v-mtz40jh4-67-89cm3-mbp-400v;(MTZ40JH4);Danfoss;MANEUROP Compressor MTZ 40-4V (MTZ40JH4) 67,89cm³ MBP 400V;
maneurop-compressor-mtz-56-4v-mtz56hl4-96-13cm3-mbp-400v;(MTZ56HL4);Danfoss;MANEUROP Compressor MTZ 56-4V (MTZ56HL4) 96,13cm³ MBP 400V;
maneurop-compressor-mtz-64-4v-mtz64hm4-107-713-mbp-400v;(MTZ56HL4);Danfoss;MANEUROP Compressor MTZ 64-4V (MTZ64HM4) 107,71³ MBP 400V;
maneurop-compressor-maneurop-danfoss-mtz28je4v;;Danfoss;MANEUROP Compressor maneurop danfoss MTZ28JE4V;
ptc-sensorler;;Dixell;Dixell PTC sensör;
dixell-xr60ch-dijital-termostat;XR60CH;Dixell;DİXELL XR60CH Dijital Termostat;
ntc-sensor;;Dixell;NTC Sensör;
4-yollu-vana-dsf-9-dunan-adtlp04b0805-02md;DSF-9;Dunan;4 Yollu Vana DSF-9 DUNAN ADTLP04B0805.02MD;
4-yollu-vana-dunan-dsf-4-bdgp20d0722-02md;DSF-4;Dunan;4 Yollu Vana- Dunan DSF-4 BDGP20D0722.02MD;
j818-4-yollu-icin-solenoid-bobinler-reversing-valve-coils;J818;Dunan;J818 4 yollu için Solenoid Bobinler Reversing Valve Coils;
compressor-embraco-aspera-nj6220z;nj6220z;Embraco;Compressor embraco aspera nj6220z;
compressor-embraco-aspera-nj9232g;nj9232g;Embraco;Compressor embraco aspera nj9232g;
kompressor-embraco-aspera-nj9238gs;NJ9238GS;Embraco;Kompressor Embraco Aspera NJ9238GS;
kompressor-embraco-aspera-nj9238gs-v;NJ9238GS;Embraco;Kompressor Embraco Aspera NJ9238GS-V;
2-el-copeland-scroll-zp61kce-tfd-kompresor-sifir-ayarinda-test-edilmis-ve-garantili;zp61kce;Emerson-Copeland;2.El Copeland Scroll ZP61KCE-TFD Kompresör - Sıfır Ayarında, Test Edilmiş ve Garantili;
copeland-kompresor-zr61kce-tfd-522-r407c-400v;ZR61KCE-TFD-522;Emerson-Copeland;Copeland Kompresor ZR61KCE-TFD-522 R407C, 400V;
kompresor-copeland-scroll-vr61kf-tfp-542-380v-r404a;VR61KF-TFP-542;Emerson-Copeland;Copeland Scroll Kompresör VR61KF-TFP-542;
kompresor-copeland-scroll-zr47k3-pfj-522-200v-r22;ZR47K3-PFJ-522;Emerson-Copeland;Copeland Scroll Kompresör ZR47K3-PFJ-522;
